,line,content
301,301,"                         ...Restare in pacem eternis, Amen."
302,302,"               With the final Amen, the neighbors drift from the graveside, "
303,303,"               pulling their Children along, to give William a last moment "
304,304,               of private grief before the grave diggers cover the bodies.
305,305,"               The boy stands alone over the open graves, his heart so "
306,306,               shattered that he can scarcely cry; a single tear makes its 
307,307,               way down his face. And the tiny girl feels for William in a 
308,308,               way that the adults cannot. From the ground she pulls a 
309,309,"               Scottish thistle, moves to the softly weeping William and "
310,310,               places the beautiful wild blossom in his hand.
311,311,               William looks up and their young eyes meet; her sad blue 
312,312,               eyes hold William's as the grave diggers cover the bodies.
313,313,"               Then a lone, mounted figure appears at the crest of the hill "
314,314,"               above them. Tall, thin and angular, in black clerical garb, "
315,315,               he looks like the grim reaper.
316,316,               The girl hurries back to her mother's side; everyone watches 
317,317,               in silence as the figure rides down to them. He is ARGYLE 
318,318,"               WALLACE. He looks like a human buzzard, his face craggy, "
319,319,               permanently furious.
320,320,                                     PRIEST
321,321,                         You must be the relative of the 
322,322,"                         deceased... William, this is your "
323,323,                         Uncle Argyle.
324,324,"               Argyle glowers at the man, dismounts, and glares at William."
325,325,               William stares up at this frightening figure. They are 
326,326,               interrupted by the ominous sound of approaching horses; a 
327,327,"               dozen mounted English soldiers, armed with lances, are "
328,328,               approaching. Argyle rattles to the priest...
329,329,                                     ARGYLE
330,330,                         You were wise to hurry.
331,331,               The soldiers ride right in among the mourners and stare down 
332,332,"               from their saddles, haughty, menacing, their LEADER brusque."
333,333,                                     LEADER
334,334,                         Someone dead from this household?
335,335,                                     ARGYLE
336,336,"                         We just had a funeral, isn't that "
337,337,                         what it means in England as well?
338,338,                                     LEADER
339,339,                         What it means in England -- and in 
340,340,                         Scotland too -- is that rebels have 
341,341,                         forfeited their lands. We were 
342,342,                         ambushed last night. But the Scots 
343,343,                         dragged their dead away.
344,344,                                     ARGYLE
345,345,                         My brother and nephew perished two 
346,346,"                         days ago, when their hay cart turned "
347,347,                         over.
348,348,                                     LEADER
349,349,                         Then we'll just have a peek at the 
350,350,                         wounds.
351,351,                              (to his men)
352,352,                         Dig 'em up!
353,353,                                     ARGYLE
354,354,                         They've been sanctified and buried 
355,355,"                         in the holy rites of God's church, "
356,356,                         and any hand that disturbs them now 
357,357,                         takes on eternal damnation. So please -- 
358,358,                         do it.
359,359,"               Outmaneuvered, the leader reins his horse away. Several of "
360,360,               the farmers spit on the ground. Argyle glares at them.
361,361,                                     ARGYLE
362,362,                         Funeral's over. Go home.
363,363,               
364,364, THE KITCHEN - NIGHT
365,365,"               William and Argyle are sitting at the table, eating. Argyle "
366,366,"               has laid out a proper meal, with exact place settings."
367,367,                                     ARGYLE
368,368,"                         Not that spoon, that one's for soup. "
369,369,                         Dip away from you. And don't slurp.
370,370,               Argyle sits down and begins to dine with the boy.
371,371,                                     ARGYLE
372,372,                         We'll sleep here tonight. You'll 
373,373,                         come home with me. We'll let the 
374,374,"                         house, and the lands too; plenty of "
375,375,                         willing neighbors.
376,376,                                     WILLIAM
377,377,                         I don't want to leave.
378,378,                                     ARGYLE
379,379,"                         Didn't want your father to die either, "
380,380,                         did ya? But it happened.
381,381,               Argyle pushes his food away; he has no appetite now.
382,382,                                     ARGYLE
383,383,                         Did the priest say anything about 
384,384,                         the Resurrection? Or was it all about 
385,385,                         Judgment?
386,386,                                     WILLIAM
387,387,"                         It was in Latin, sir."
388,388,                                     ARGYLE
389,389,                         Non loquis Latinum? You don't speak 
390,390,"                         Latin? We have to fix that, won't "
391,391,                         we?
392,392,                              (beat)
393,393,                         Did he give the poetic benediction? 
394,394,                         The Lord bless thee and keep thee? 
395,395,                         Patris Benefactum et --
396,396,                              (beat)
397,397,                         ...It was Malcolm's favorite.
398,398,               
399,399, WILLIAM'S BEDROOM - NIGHT
