"","line","sentiment","n","paragraph"
"891",2776,"trust",1,10
"892",2782,"joy",1,10
"893",2783,"anticipation",1,10
"894",2783,"joy",1,10
"895",2789,"joy",1,10
"896",2789,"surprise",1,10
"897",2789,"trust",1,10
"898",2791,"joy",1,10
"899",2800,"joy",1,10
"900",2800,"surprise",1,10
"901",2800,"trust",1,10
"902",2804,"joy",1,10
"903",2807,"trust",1,10
"904",2819,"joy",1,11
"905",2851,"anticipation",1,11
"906",2852,"sadness",1,11
"907",2870,"anger",1,11
"908",2870,"fear",1,11
"909",2920,"joy",1,11
"910",2920,"surprise",1,11
"911",2920,"trust",1,11
"912",2926,"joy",1,11
"913",2931,"anticipation",1,11
"914",2936,"joy",1,11
"915",2936,"trust",1,11
"916",2937,"anticipation",1,11
"917",2944,"surprise",1,11
"918",2944,"trust",1,11
"919",2951,"joy",1,11
"920",2951,"surprise",1,11
"921",2951,"trust",1,11
"922",2955,"trust",1,11
"923",2964,"joy",1,11
"924",2971,"fear",1,11
"925",2974,"anticipation",1,11
"926",2974,"trust",1,11
"927",2992,"anger",1,11
"928",2992,"disgust",1,11
"929",2992,"fear",1,11
"930",2992,"trust",1,11
"931",3014,"anticipation",1,11
"932",3014,"fear",1,11
"933",3027,"anger",1,11
"934",3027,"disgust",1,11
"935",3027,"fear",1,11
"936",3027,"surprise",1,11
"937",3033,"anticipation",1,11
"938",3037,"joy",1,11
"939",3048,"disgust",1,11
"940",3048,"sadness",2,11
"941",3058,"anticipation",1,11
"942",3058,"fear",1,11
"943",3058,"joy",1,11
"944",3062,"surprise",1,11
"945",3063,"anger",1,11
"946",3063,"fear",1,11
"947",3092,"anticipation",1,12
"948",3092,"fear",1,12
"949",3093,"anger",1,12
"950",3093,"fear",1,12
"951",3093,"sadness",1,12
"952",3094,"anger",1,12
"953",3094,"disgust",1,12
"954",3094,"fear",1,12
"955",3094,"sadness",1,12
"956",3094,"surprise",1,12
"957",3098,"anticipation",1,12
"958",3098,"joy",1,12
"959",3098,"trust",1,12
"960",3100,"anger",1,12
"961",3100,"disgust",1,12
"962",3100,"fear",1,12
"963",3101,"anger",1,12
"964",3101,"disgust",2,12
"965",3101,"fear",2,12
"966",3101,"sadness",1,12
"967",3102,"fear",1,12
"968",3115,"anger",1,12
"969",3117,"sadness",1,12
"970",3118,"sadness",1,12
"971",3118,"trust",1,12
"972",3140,"anger",1,12
"973",3140,"fear",1,12
"974",3140,"sadness",1,12
"975",3145,"anger",1,12
"976",3145,"disgust",1,12
"977",3145,"fear",1,12
"978",3145,"sadness",1,12
"979",3145,"surprise",1,12
"980",3149,"anger",1,12
"981",3149,"fear",1,12
"982",3149,"sadness",1,12
"983",3152,"fear",1,12
"984",3152,"sadness",1,12
"985",3163,"sadness",1,12
"986",3166,"anticipation",1,12
"987",3172,"anticipation",1,12
"988",3172,"joy",1,12
"989",3172,"surprise",1,12
"990",3172,"trust",1,12
"991",3175,"anticipation",1,12
"992",3175,"joy",1,12
"993",3175,"surprise",1,12
"994",3175,"trust",1,12
"995",3194,"fear",1,12
"996",3216,"surprise",1,12
"997",3236,"anger",1,12
"998",3236,"anticipation",1,12
"999",3236,"fear",1,12
"1000",3236,"joy",1,12
"1001",3236,"trust",1,12
"1002",3244,"anticipation",2,12
"1003",3250,"anticipation",1,12
"1004",3250,"fear",1,12
"1005",3250,"joy",1,12
"1006",3250,"trust",1,12
"1007",3261,"anger",1,12
"1008",3263,"anticipation",1,12
"1009",3268,"anger",1,12
"1010",3268,"fear",1,12
"1011",3268,"sadness",1,12
"1012",3306,"anticipation",1,12
"1013",3322,"anger",1,12
"1014",3322,"fear",1,12
"1015",3322,"sadness",1,12
"1016",3341,"trust",1,12
"1017",3344,"anticipation",1,12
"1018",3344,"fear",1,12
"1019",3345,"anticipation",1,12
"1020",3345,"fear",1,12
"1021",3354,"fear",1,12
"1022",3354,"sadness",1,12
"1023",3357,"anger",1,12
"1024",3357,"disgust",1,12
"1025",3360,"disgust",1,12
"1026",3362,"joy",1,12
"1027",3366,"trust",1,12
"1028",3373,"disgust",1,13
"1029",3379,"fear",1,13
"1030",3380,"disgust",1,13
"1031",3382,"anticipation",1,13
"1032",3382,"joy",1,13
"1033",3382,"surprise",2,13
"1034",3387,"anticipation",1,13
"1035",3388,"fear",1,13
"1036",3388,"surprise",1,13
"1037",3397,"anticipation",1,13
"1038",3397,"disgust",2,13
"1039",3397,"joy",1,13
"1040",3397,"surprise",1,13
"1041",3397,"trust",1,13
"1042",3403,"disgust",1,13
"1043",3404,"anger",1,13
"1044",3404,"fear",1,13
"1045",3405,"anger",1,13
"1046",3405,"disgust",1,13
"1047",3405,"fear",1,13
"1048",3405,"sadness",1,13
"1049",3413,"anger",1,13
"1050",3428,"anger",1,13
"1051",3428,"disgust",1,13
"1052",3428,"fear",1,13
"1053",3428,"sadness",1,13
"1054",3442,"surprise",1,13
"1055",3463,"joy",1,13
"1056",3479,"anticipation",1,13
"1057",3479,"fear",1,13
"1058",3498,"surprise",1,13
"1059",3507,"trust",1,13
"1060",3511,"trust",1,13
"1061",3519,"anticipation",1,13
"1062",3519,"joy",1,13
"1063",3519,"trust",1,13
"1064",3521,"anger",1,13
"1065",3521,"anticipation",1,13
"1066",3521,"disgust",1,13
"1067",3521,"fear",1,13
"1068",3521,"joy",1,13
"1069",3521,"surprise",2,13
"1070",3541,"joy",1,13
"1071",3545,"joy",1,13
"1072",3558,"anger",1,13
"1073",3582,"anger",1,13
"1074",3591,"anticipation",1,13
"1075",3591,"disgust",1,13
"1076",3591,"joy",1,13
"1077",3591,"surprise",1,13
"1078",3591,"trust",1,13
"1079",3634,"anticipation",1,13
"1080",3646,"anger",1,13
"1081",3646,"anticipation",4,13
"1082",3646,"joy",4,13
"1083",3646,"surprise",1,13
"1084",3646,"trust",4,13
"1085",3661,"joy",2,14
"1086",3661,"surprise",1,14
"1087",3661,"trust",1,14
"1088",3662,"anger",1,14
"1089",3662,"anticipation",1,14
"1090",3670,"trust",1,14
"1091",3674,"surprise",1,14
"1092",3715,"anticipation",1,14
"1093",3715,"disgust",1,14
"1094",3715,"joy",1,14
"1095",3715,"surprise",1,14
"1096",3715,"trust",1,14
"1097",3726,"joy",1,14
"1098",3726,"surprise",1,14
