line,sentiment,n,paragraph
97,joy,3,25
97,sadness,8,25
97,surprise,2,25
97,trust,11,25
98,anger,6,26
98,anticipation,3,26
98,disgust,8,26
98,fear,9,26
98,joy,1,26
98,sadness,7,26
98,surprise,4,26
98,trust,4,26
99,anger,3,26
99,anticipation,3,26
99,disgust,9,26
99,fear,3,26
99,joy,4,26
99,sadness,6,26
99,surprise,4,26
99,trust,6,26
100,anger,3,26
100,anticipation,2,26
100,disgust,6,26
100,fear,4,26
100,joy,2,26
100,sadness,4,26
100,surprise,1,26
100,trust,6,26
101,anger,1,26
101,anticipation,3,26
101,disgust,10,26
101,fear,1,26
101,joy,5,26
101,sadness,3,26
101,trust,3,26
102,anger,1,27
102,anticipation,2,27
102,disgust,8,27
102,joy,3,27
102,sadness,1,27
102,trust,3,27
103,anger,3,27
103,anticipation,2,27
103,disgust,10,27
103,fear,5,27
103,joy,4,27
103,sadness,3,27
103,surprise,2,27
103,trust,2,27
104,anger,5,27
104,anticipation,6,27
104,disgust,8,27
104,fear,7,27
104,joy,2,27
104,sadness,6,27
104,surprise,6,27
104,trust,6,27
105,anticipation,1,27
105,fear,5,27
105,joy,2,27
105,sadness,3,27
105,surprise,2,27
105,trust,3,27
106,anger,4,28
106,anticipation,5,28
106,disgust,2,28
106,fear,5,28
106,joy,4,28
106,sadness,6,28
106,surprise,2,28
106,trust,5,28
107,anger,4,28
107,anticipation,6,28
107,disgust,3,28
107,fear,9,28
107,joy,8,28
107,sadness,5,28
107,surprise,3,28
107,trust,10,28
108,anger,5,28
108,anticipation,2,28
108,disgust,13,28
108,fear,8,28
108,joy,1,28
108,sadness,12,28
108,surprise,6,28
108,trust,4,28
109,anger,5,28
109,anticipation,5,28
109,disgust,8,28
109,fear,9,28
109,joy,7,28
109,sadness,9,28
109,surprise,6,28
109,trust,6,28
110,anger,7,29
110,anticipation,1,29
110,disgust,3,29
110,fear,9,29
110,sadness,3,29
110,surprise,5,29
110,trust,1,29
111,anger,6,29
111,anticipation,1,29
111,disgust,2,29
111,fear,7,29
111,sadness,2,29
111,surprise,1,29
111,trust,2,29
112,anticipation,3,29
112,disgust,2,29
112,fear,2,29
112,joy,1,29
112,sadness,2,29
112,surprise,1,29
112,trust,3,29
113,anger,8,29
113,anticipation,5,29
113,fear,9,29
113,sadness,2,29
113,surprise,5,29
113,trust,3,29
114,anger,15,30
114,anticipation,2,30
114,disgust,2,30
114,fear,17,30
114,sadness,10,30
114,surprise,4,30
114,trust,2,30
115,anger,13,30
115,anticipation,6,30
115,disgust,7,30
115,fear,14,30
115,joy,4,30
115,sadness,6,30
115,surprise,4,30
115,trust,3,30
