line,sentiment,n,paragraph
1556,sadness,1,8
1557,sadness,1,8
1557,surprise,1,8
1559,anticipation,1,8
1559,fear,1,8
1559,joy,1,8
1559,trust,2,8
1561,anticipation,1,8
1561,disgust,2,8
1561,joy,1,8
1561,surprise,1,8
1561,trust,1,8
1562,disgust,1,8
1563,disgust,1,8
1567,disgust,1,8
1570,anger,2,8
1570,joy,1,8
1573,joy,1,8
1573,trust,1,8
1575,disgust,1,8
1576,anticipation,1,8
1576,joy,1,8
1576,trust,1,8
1584,anticipation,1,8
1584,joy,1,8
1584,sadness,1,8
1584,surprise,1,8
1588,surprise,1,8
1589,anticipation,1,8
1589,joy,1,8
1595,trust,1,8
1598,sadness,1,8
1598,surprise,1,8
1614,anticipation,1,8
1614,fear,1,8
1614,surprise,1,8
1621,anticipation,1,8
1621,joy,1,8
1621,surprise,1,8
1621,trust,1,8
1622,anticipation,1,8
1622,joy,1,8
1622,surprise,1,8
1622,trust,2,8
1623,fear,1,8
1623,trust,1,8
1628,anticipation,1,8
1628,joy,1,8
1628,surprise,1,8
1628,trust,1,8
1638,sadness,1,8
1638,surprise,1,8
1642,anticipation,1,8
1648,anger,1,8
1648,disgust,1,8
1648,fear,1,8
1648,joy,1,8
1648,sadness,1,8
1648,trust,1,8
1655,anger,1,8
1655,disgust,1,8
1655,fear,1,8
1655,sadness,1,8
1659,fear,1,8
1659,sadness,1,8
1659,trust,1,8
1661,trust,1,8
1668,fear,1,8
1668,trust,1,8
1670,anger,1,8
1670,fear,1,8
1677,joy,1,8
1677,trust,1,8
1679,trust,1,8
1682,anticipation,1,9
1682,joy,1,9
1682,trust,1,9
1684,anticipation,1,9
1684,joy,1,9
1684,trust,2,9
1689,surprise,1,9
1690,joy,1,9
1690,surprise,1,9
1690,trust,1,9
1691,anticipation,1,9
1691,trust,1,9
1695,anticipation,1,9
1697,anticipation,1,9
1697,joy,1,9
1697,sadness,1,9
1697,surprise,1,9
1698,disgust,1,9
1698,fear,1,9
1698,trust,1,9
1700,anticipation,1,9
1700,trust,1,9
1702,trust,1,9
1716,sadness,1,9
1716,trust,1,9
1724,anger,1,9
1724,disgust,1,9
1725,surprise,1,9
1732,trust,1,9
1735,disgust,1,9
1735,fear,1,9
1735,sadness,1,9
1736,disgust,1,9
1736,fear,1,9
1736,sadness,1,9
1737,anticipation,2,9
1737,joy,2,9
1737,sadness,2,9
1737,surprise,2,9
1741,anticipation,1,9
1741,joy,1,9
1741,sadness,1,9
1741,surprise,1,9
1746,disgust,1,9
1746,fear,1,9
1747,disgust,1,9
1747,fear,1,9
1769,anticipation,1,9
1769,joy,1,9
1769,trust,1,9
1774,disgust,1,9
1774,fear,1,9
1778,anger,1,9
1778,trust,1,9
1779,anger,1,9
1779,anticipation,1,9
1779,disgust,1,9
1779,joy,1,9
1779,surprise,1,9
1779,trust,1,9
1780,fear,1,9
1780,trust,1,9
1785,anticipation,1,9
1785,joy,1,9
1785,sadness,1,9
1785,trust,1,9
1787,fear,1,9
1787,trust,1,9
1789,trust,1,9
1790,fear,1,9
1790,trust,1,9
1791,disgust,1,9
1791,fear,2,9
1794,anticipation,1,9
