"","line","sentiment","n","paragraph"
"516",1530,"trust",1,10
"517",1531,"sadness",1,10
"518",1532,"anticipation",1,10
"519",1532,"trust",1,10
"520",1533,"anticipation",1,10
"521",1533,"joy",1,10
"522",1533,"surprise",1,10
"523",1533,"trust",1,10
"524",1537,"trust",1,10
"525",1543,"anger",1,10
"526",1543,"anticipation",1,10
"527",1543,"disgust",1,10
"528",1543,"fear",1,10
"529",1543,"joy",1,10
"530",1543,"sadness",1,10
"531",1543,"surprise",1,10
"532",1543,"trust",1,10
"533",1544,"anger",1,10
"534",1544,"sadness",1,10
"535",1563,"anger",1,10
"536",1563,"disgust",1,10
"537",1563,"fear",1,10
"538",1563,"sadness",1,10
"539",1566,"anger",1,10
"540",1566,"sadness",1,10
"541",1566,"trust",1,10
"542",1567,"anger",1,10
"543",1567,"sadness",1,10
"544",1569,"trust",1,10
"545",1570,"disgust",1,10
"546",1571,"anger",1,10
"547",1571,"sadness",1,10
"548",1573,"trust",1,10
"549",1578,"anticipation",1,10
"550",1581,"trust",1,10
"551",1584,"anger",1,10
"552",1584,"fear",1,10
"553",1584,"sadness",1,10
"554",1584,"surprise",1,10
"555",1584,"trust",1,10
"556",1585,"anger",1,10
"557",1585,"fear",1,10
"558",1586,"sadness",1,10
"559",1586,"trust",1,10
"560",1587,"trust",1,10
"561",1588,"anger",1,10
"562",1588,"fear",2,10
"563",1588,"sadness",1,10
"564",1589,"anger",1,10
"565",1589,"sadness",1,10
"566",1591,"anger",1,10
"567",1591,"fear",1,10
"568",1594,"anger",1,10
"569",1594,"sadness",1,10
"570",1595,"anger",2,10
"571",1595,"fear",1,10
"572",1595,"sadness",1,10
"573",1597,"anger",1,10
"574",1597,"fear",1,10
"575",1598,"anger",1,10
"576",1598,"sadness",1,10
"577",1599,"anger",1,10
"578",1599,"sadness",1,10
"579",1609,"anger",1,10
"580",1609,"sadness",1,10
"581",1621,"anticipation",1,10
"582",1624,"fear",1,10
"583",1624,"trust",1,10
"584",1627,"fear",2,10
"585",1627,"trust",1,10
"586",1628,"fear",1,10
"587",1628,"trust",3,10
"588",1630,"sadness",1,10
"589",1631,"anger",1,10
"590",1639,"anticipation",1,10
"591",1641,"anticipation",1,10
"592",1643,"fear",1,10
"593",1643,"trust",1,10
"594",1652,"anger",1,11
"595",1652,"surprise",1,11
"596",1653,"anticipation",1,11
"597",1657,"trust",1,11
"598",1661,"sadness",1,11
"599",1662,"fear",1,11
"600",1662,"trust",1,11
"601",1663,"sadness",1,11
"602",1672,"sadness",1,11
"603",1675,"anger",1,11
"604",1675,"surprise",1,11
"605",1678,"disgust",1,11
"606",1678,"fear",1,11
"607",1680,"fear",1,11
"608",1680,"trust",2,11
"609",1685,"anger",1,11
"610",1685,"fear",1,11
"611",1685,"sadness",1,11
"612",1685,"surprise",1,11
"613",1687,"anger",1,11
"614",1687,"disgust",1,11
"615",1687,"fear",1,11
"616",1687,"sadness",1,11
"617",1688,"fear",1,11
"618",1688,"sadness",1,11
"619",1688,"trust",1,11
"620",1691,"surprise",1,11
"621",1693,"fear",1,11
"622",1693,"trust",1,11
"623",1694,"surprise",1,11
"624",1710,"disgust",1,11
"625",1711,"fear",1,11
"626",1711,"trust",1,11
"627",1712,"sadness",1,11
"628",1717,"sadness",1,11
"629",1718,"disgust",2,11
"630",1719,"fear",1,11
"631",1719,"trust",1,11
"632",1721,"anticipation",1,11
"633",1721,"joy",1,11
"634",1721,"trust",1,11
"635",1724,"joy",1,11
"636",1724,"trust",1,11
"637",1726,"fear",1,11
"638",1726,"trust",1,11
"639",1729,"trust",1,11
"640",1730,"trust",1,11
"641",1732,"fear",1,11
"642",1736,"trust",1,11
"643",1737,"trust",1,11
"644",1747,"anticipation",1,11
"645",1749,"sadness",1,11
"646",1750,"joy",1,11
"647",1750,"surprise",1,11
"648",1750,"trust",2,11
"649",1752,"trust",1,11
"650",1753,"trust",1,11
"651",1754,"trust",1,11
"652",1755,"trust",1,11
"653",1759,"surprise",1,11
"654",1760,"trust",2,11
"655",1762,"trust",1,11
