"","line","sentiment","n","paragraph"
"1924",3222,"anticipation",1,22
"1925",3222,"trust",1,22
"1926",3224,"anticipation",1,22
"1927",3224,"joy",1,22
"1928",3224,"surprise",1,22
"1929",3226,"anger",1,22
"1930",3226,"disgust",1,22
"1931",3226,"fear",2,22
"1932",3226,"sadness",1,22
"1933",3235,"trust",1,22
"1934",3237,"trust",1,22
"1935",3239,"anger",1,22
"1936",3239,"fear",1,22
"1937",3246,"anger",1,22
"1938",3246,"fear",1,22
"1939",3247,"trust",1,22
"1940",3249,"fear",1,22
"1941",3250,"fear",1,22
"1942",3258,"sadness",1,22
"1943",3259,"trust",1,22
"1944",3263,"anticipation",1,22
"1945",3263,"trust",1,22
"1946",3264,"anticipation",1,22
"1947",3265,"fear",1,22
"1948",3265,"trust",1,22
"1949",3266,"fear",1,22
"1950",3267,"anticipation",1,22
"1951",3267,"joy",1,22
"1952",3267,"trust",1,22
"1953",3270,"sadness",1,22
"1954",3278,"trust",1,22
"1955",3279,"fear",1,22
"1956",3287,"fear",1,22
"1957",3288,"fear",1,22
"1958",3289,"trust",1,22
"1959",3290,"anticipation",1,22
"1960",3291,"trust",1,22
"1961",3298,"trust",1,22
"1962",3301,"trust",2,23
"1963",3305,"sadness",1,23
"1964",3306,"disgust",1,23
"1965",3307,"anticipation",1,23
"1966",3307,"joy",1,23
"1967",3307,"trust",1,23
"1968",3309,"joy",1,23
"1969",3311,"anticipation",1,23
"1970",3311,"fear",1,23
"1971",3315,"anger",1,23
"1972",3315,"disgust",1,23
"1973",3317,"fear",1,23
"1974",3319,"trust",1,23
"1975",3321,"anticipation",1,23
"1976",3321,"disgust",1,23
"1977",3321,"joy",1,23
"1978",3321,"surprise",1,23
"1979",3321,"trust",1,23
"1980",3323,"anger",1,23
"1981",3324,"anger",1,23
"1982",3324,"disgust",1,23
"1983",3324,"fear",1,23
"1984",3324,"sadness",1,23
"1985",3327,"disgust",1,23
"1986",3327,"fear",1,23
"1987",3327,"trust",2,23
"1988",3331,"trust",1,23
"1989",3334,"fear",1,23
"1990",3334,"surprise",1,23
"1991",3341,"disgust",1,23
"1992",3346,"fear",1,23
"1993",3346,"sadness",1,23
"1994",3349,"anger",1,23
"1995",3349,"disgust",1,23
"1996",3349,"fear",1,23
"1997",3349,"sadness",1,23
"1998",3353,"trust",1,23
"1999",3358,"trust",1,23
"2000",3360,"sadness",1,23
"2001",3360,"surprise",1,23
"2002",3365,"trust",1,23
"2003",3367,"anger",1,23
"2004",3367,"disgust",1,23
"2005",3374,"trust",1,23
"2006",3375,"anticipation",1,23
"2007",3375,"disgust",1,23
"2008",3375,"fear",1,23
"2009",3375,"trust",1,23
"2010",3381,"trust",1,23
"2011",3390,"trust",2,23
"2012",3391,"anger",1,23
"2013",3391,"fear",1,23
"2014",3394,"anger",1,23
"2015",3394,"fear",1,23
"2016",3394,"sadness",1,23
"2017",3395,"anticipation",1,23
